participant_code,age,gender,f2f,phone,video,vr_chat,video_game,vr_game,avatar_type,disclosure_sentiment,enjoyment_rating,comfort_rating,pleasantness_rating,real_person_rating,facial_realism_rating,body_realism_rating,pref_enjoyable,pref_comfortable,pref_pleasant,pref_real_person,pref_facial_realistic,pref_body_realistic
C1,35,Female,5,2,1,1,2,1,low,positive,4,5,5,4,5,4,1,2,2,3,1,1
C1,35,Female,5,2,1,1,2,1,low,negative,4,5,5,5,5,5,1,2,2,3,1,1
C1,35,Female,5,2,1,1,2,1,medium,positive,5,5,5,4,3,3,1,2,2,3,1,1
C1,35,Female,5,2,1,1,2,1,medium,negative,4,4,5,4,3,3,1,2,2,3,1,1
C1,35,Female,5,2,1,1,2,1,high,positive,4,5,5,4,4,4,1,2,2,3,1,1
C1,35,Female,5,2,1,1,2,1,high,negative,4,5,4,3,3,4,1,2,2,3,1,1
S5,29,Female,5,5,3,1,2,2,medium,positive,3,4,5,2,2,1,3,3,3,3,1,1
S5,29,Female,5,5,3,1,2,2,medium,negative,2,4,4,3,2,1,3,3,3,3,1,1
S5,29,Female,5,5,3,1,2,2,high,positive,5,5,4,4,4,4,3,3,3,3,1,1
S5,29,Female,5,5,3,1,2,2,high,negative,3,5,5,4,4,4,3,3,3,3,1,1
S5,29,Female,5,5,3,1,2,2,low,positive,5,5,5,2,3,4,3,3,3,3,1,1
S5,29,Female,5,5,3,1,2,2,low,negative,4,5,5,2,3,4,3,3,3,3,1,1
K6,35,Female,5,2,2,1,3,1,high,positive,4,4,4,1,2,2,1,3,3,3,3,3
K6,35,Female,5,2,2,1,3,1,high,negative,3,3,4,1,1,2,1,3,3,3,3,3
K6,35,Female,5,2,2,1,3,1,low,positive,4,4,4,1,2,2,1,3,3,3,3,3
K6,35,Female,5,2,2,1,3,1,low,negative,2,3,3,1,2,2,1,3,3,3,3,3
K6,35,Female,5,2,2,1,3,1,medium,positive,3,3,3,2,1,2,1,3,3,3,3,3
K6,35,Female,5,2,2,1,3,1,medium,negative,3,3,3,1,1,2,1,3,3,3,3,3
E7,19,Female,5,3,2,1,5,3,low,positive,2,3,3,4,2,3,1,3,3,2,2,2
E7,19,Female,5,3,2,1,5,3,low,negative,2,3,3,3,2,3,1,3,3,2,2,2
E7,19,Female,5,3,2,1,5,3,medium,positive,4,3,4,3,2,3,1,3,3,2,2,2
E7,19,Female,5,3,2,1,5,3,medium,negative,4,3,3,3,2,4,1,3,3,2,2,2
E7,19,Female,5,3,2,1,5,3,high,positive,4,4,4,4,2,3,1,3,3,2,2,2
E7,19,Female,5,3,2,1,5,3,high,negative,4,4,4,4,2,3,1,3,3,2,2,2
N8,23,Female,5,5,3,1,2,1,medium,positive,3,3,3,3,2,3,3,3,3,3,3,3
N8,23,Female,5,5,3,1,2,1,medium,negative,2,3,2,2,2,3,3,3,3,3,3,3
N8,23,Female,5,5,3,1,2,1,high,positive,3,3,3,2,2,3,3,3,3,3,3,3
N8,23,Female,5,5,3,1,2,1,high,negative,2,3,3,2,2,3,3,3,3,3,3,3
N8,23,Female,5,5,3,1,2,1,low,positive,2,2,2,1,1,1,3,3,3,3,3,3
N8,23,Female,5,5,3,1,2,1,low,negative,2,2,2,1,1,1,3,3,3,3,3,3
L9,49,Female,5,4,5,1,5,1,high,positive,3,3,4,3,3,4,1,1,1,2,2,2
L9,49,Female,5,4,5,1,5,1,high,negative,2,3,4,4,3,4,1,1,1,2,2,2
L9,49,Female,5,4,5,1,5,1,low,positive,4,4,4,3,2,3,1,1,1,2,2,2
L9,49,Female,5,4,5,1,5,1,low,negative,3,4,4,3,2,3,1,1,1,2,2,2
L9,49,Female,5,4,5,1,5,1,medium,positive,2,3,3,3,4,4,1,1,1,2,2,2
L9,49,Female,5,4,5,1,5,1,medium,negative,3,3,3,3,4,4,1,1,1,2,2,2
S10,19,Female,5,3,3,1,2,2,low,positive,3,3,2,2,2,2,3,3,3,1,3,3
S10,19,Female,5,3,3,1,2,2,low,negative,2,2,2,1,2,2,3,3,3,1,3,3
S10,19,Female,5,3,3,1,2,2,medium,positive,2,2,2,1,1,2,3,3,3,1,3,3
S10,19,Female,5,3,3,1,2,2,medium,negative,2,2,2,1,2,2,3,3,3,1,3,3
S10,19,Female,5,3,3,1,2,2,high,positive,3,4,3,3,2,2,3,3,3,1,3,3
S10,19,Female,5,3,3,1,2,2,high,negative,3,4,4,2,2,2,3,3,3,1,3,3
K11,28,Female,4,3,4,1,4,3,medium,positive,3,3,3,2,1,1,1,1,1,3,3,1
K11,28,Female,4,3,4,1,4,3,medium,negative,3,4,4,2,1,1,1,1,1,3,3,1
K11,28,Female,4,3,4,1,4,3,high,positive,3,4,3,2,2,1,1,1,1,3,3,1
K11,28,Female,4,3,4,1,4,3,high,negative,3,3,4,2,2,1,1,1,1,3,3,1
K11,28,Female,4,3,4,1,4,3,low,positive,3,3,4,2,3,2,1,1,1,3,3,1
K11,28,Female,4,3,4,1,4,3,low,negative,3,3,3,2,2,2,1,1,1,3,3,1
L12,19,Female,4,2,2,1,2,2,high,positive,3,4,4,2,2,2,1,1,1,3,3,3
L12,19,Female,4,2,2,1,2,2,high,negative,3,4,3,2,2,2,1,1,1,3,3,3
L12,19,Female,4,2,2,1,2,2,low,positive,3,3,3,2,2,2,1,1,1,3,3,3
L12,19,Female,4,2,2,1,2,2,low,negative,2,2,3,2,2,2,1,1,1,3,3,3
L12,19,Female,4,2,2,1,2,2,medium,positive,4,4,4,2,2,3,1,1,1,3,3,3
L12,19,Female,4,2,2,1,2,2,medium,negative,4,4,4,3,3,2,1,1,1,3,3,3
E13,23,Female,5,4,3,1,3,1,low,positive,3,3,5,2,2,2,3,3,3,3,2,3
E13,23,Female,5,4,3,1,3,1,low,negative,2,3,4,2,2,2,3,3,3,3,2,3
E13,23,Female,5,4,3,1,3,1,medium,positive,4,4,4,3,3,4,3,3,3,3,2,3
E13,23,Female,5,4,3,1,3,1,medium,negative,2,3,4,3,3,4,3,3,3,3,2,3
E13,23,Female,5,4,3,1,3,1,high,positive,4,4,4,3,3,5,3,3,3,3,2,3
E13,23,Female,5,4,3,1,3,1,high,negative,3,4,4,3,3,5,3,3,3,3,2,3
C14,19,Female,5,5,2,1,2,1,medium,positive,3,4,4,4,3,3,1,3,3,3,3,1
C14,19,Female,5,5,2,1,2,1,medium,negative,3,3,4,4,3,3,1,3,3,3,3,1
C14,19,Female,5,5,2,1,2,1,high,positive,4,4,4,3,4,3,1,3,3,3,3,1
C14,19,Female,5,5,2,1,2,1,high,negative,3,3,4,3,4,3,1,3,3,3,3,1
C14,19,Female,5,5,2,1,2,1,low,positive,3,4,4,2,2,3,1,3,3,3,3,1
C14,19,Female,5,5,2,1,2,1,low,negative,3,4,2,2,2,3,1,3,3,3,3,1
J15,22,Female,5,5,5,1,5,1,high,positive,3,3,4,3,4,3,2,2,1,3,3,3
J15,22,Female,5,5,5,1,5,1,high,negative,3,2,3,4,3,3,2,2,1,3,3,3
J15,22,Female,5,5,5,1,5,1,low,positive,4,4,4,3,3,3,2,2,1,3,3,3
J15,22,Female,5,5,5,1,5,1,low,negative,3,3,3,3,3,3,2,2,1,3,3,3
J15,22,Female,5,5,5,1,5,1,medium,positive,4,4,4,4,4,4,2,2,1,3,3,3
J15,22,Female,5,5,5,1,5,1,medium,negative,4,4,4,4,4,4,2,2,1,3,3,3
N16,22,Male,5,3,2,1,1,1,low,positive,3,5,3,2,3,3,3,3,3,2,3,1
N16,22,Male,5,3,2,1,1,1,low,negative,2,2,2,3,3,3,3,3,3,2,3,1
N16,22,Male,5,3,2,1,1,1,medium,positive,3,2,2,4,2,2,3,3,3,2,3,1
N16,22,Male,5,3,2,1,1,1,medium,negative,2,3,3,4,2,2,3,3,3,2,3,1
N16,22,Male,5,3,2,1,1,1,high,positive,2,2,2,2,4,1,3,3,3,2,3,1
N16,22,Male,5,3,2,1,1,1,high,negative,2,2,2,2,4,1,3,3,3,2,3,1
L17,32,Male,5,5,4,1,5,2,medium,positive,3,3,2,3,1,2,1,1,1,3,1,1
L17,32,Male,5,5,4,1,5,2,medium,negative,2,3,2,3,1,2,1,1,1,3,1,1
L17,32,Male,5,5,4,1,5,2,high,positive,2,2,3,3,2,3,1,1,1,3,1,1
L17,32,Male,5,5,4,1,5,2,high,negative,2,3,4,3,1,2,1,1,1,3,1,1
L17,32,Male,5,5,4,1,5,2,low,positive,3,3,4,3,3,4,1,1,1,3,1,1
L17,32,Male,5,5,4,1,5,2,low,negative,3,3,4,4,3,4,1,1,1,3,1,1
M18,21,Female,5,4,5,1,2,1,high,positive,2,2,3,1,2,1,1,1,1,1,1,1
M18,21,Female,5,4,5,1,2,1,high,negative,1,2,2,1,2,1,1,1,1,1,1,1
M18,21,Female,5,4,5,1,2,1,low,positive,4,4,3,2,3,2,1,1,1,1,1,1
M18,21,Female,5,4,5,1,2,1,low,negative,1,3,3,2,3,3,1,1,1,1,1,1
M18,21,Female,5,4,5,1,2,1,medium,positive,2,3,3,1,2,1,1,1,1,1,1,1
M18,21,Female,5,4,5,1,2,1,medium,negative,2,3,2,1,2,1,1,1,1,1,1,1
P19,25,Female,5,5,4,1,1,1,low,positive,3,2,2,2,2,2,3,3,3,3,3,3
P19,25,Female,5,5,4,1,1,1,low,negative,2,2,2,2,1,1,3,3,3,3,3,3
P19,25,Female,5,5,4,1,1,1,medium,positive,2,2,2,2,2,2,3,3,3,3,3,3
P19,25,Female,5,5,4,1,1,1,medium,negative,1,1,1,2,1,2,3,3,3,3,3,3
P19,25,Female,5,5,4,1,1,1,high,positive,3,3,3,3,3,3,3,3,3,3,3,3
P19,25,Female,5,5,4,1,1,1,high,negative,3,3,3,3,3,3,3,3,3,3,3,3
S20,32,Female,5,3,4,1,2,1,medium,positive,3,2,2,1,1,1,1,3,1,3,3,3
S20,32,Female,5,3,4,1,2,1,medium,negative,1,2,2,1,1,1,1,3,1,3,3,3
S20,32,Female,5,3,4,1,2,1,high,positive,3,3,3,2,2,2,1,3,1,3,3,3
S20,32,Female,5,3,4,1,2,1,high,negative,1,3,3,2,2,2,1,3,1,3,3,3
S20,32,Female,5,3,4,1,2,1,low,positive,3,3,3,1,1,1,1,3,1,3,3,3
S20,32,Female,5,3,4,1,2,1,low,negative,1,2,2,1,1,1,1,3,1,3,3,3
S21,26,Transfem,5,3,2,2,3,2,high,positive,2,2,2,5,1,3,1,1,1,1,1,1
S21,26,Transfem,5,3,2,2,3,2,high,negative,2,2,2,5,1,2,1,1,1,1,1,1
S21,26,Transfem,5,3,2,2,3,2,low,positive,2,2,3,5,2,2,1,1,1,1,1,1
S21,26,Transfem,5,3,2,2,3,2,low,negative,2,2,3,5,2,2,1,1,1,1,1,1
S21,26,Transfem,5,3,2,2,3,2,medium,positive,3,3,3,5,1,1,1,1,1,1,1,1
S21,26,Transfem,5,3,2,2,3,2,medium,negative,2,3,3,5,1,1,1,1,1,1,1,1
D22,24,Female,5,5,2,1,3,1,low,positive,3,5,5,3,2,2,3,3,3,3,3,3
D22,24,Female,5,5,2,1,3,1,low,negative,2,3,3,2,2,2,3,3,3,3,3,3
D22,24,Female,5,5,2,1,3,1,medium,positive,4,4,5,3,2,3,3,3,3,3,3,3
D22,24,Female,5,5,2,1,3,1,medium,negative,2,4,4,3,4,3,3,3,3,3,3,3
D22,24,Female,5,5,2,1,3,1,high,positive,5,4,4,4,4,5,3,3,3,3,3,3
D22,24,Female,5,5,2,1,3,1,high,negative,2,3,5,4,4,5,3,3,3,3,3,3
M23,37,Female,5,4,4,1,1,1,medium,positive,2,2,4,3,2,2,1,3,1,3,3,3
M23,37,Female,5,4,4,1,1,1,medium,negative,2,2,2,2,2,2,1,3,1,3,3,3
M23,37,Female,5,4,4,1,1,1,high,positive,3,3,3,4,4,4,1,3,1,3,3,3
M23,37,Female,5,4,4,1,1,1,high,negative,3,3,3,4,3,3,1,3,1,3,3,3
M23,37,Female,5,4,4,1,1,1,low,positive,3,3,3,2,2,3,1,3,1,3,3,3
M23,37,Female,5,4,4,1,1,1,low,negative,2,2,2,2,2,3,1,3,1,3,3,3
M24,20,Female,5,5,4,1,4,1,high,positive,2,2,3,2,1,2,2,3,3,3,3,3
M24,20,Female,5,5,4,1,4,1,high,negative,2,1,2,2,1,1,2,3,3,3,3,3
M24,20,Female,5,5,4,1,4,1,low,positive,3,3,4,3,3,2,2,3,3,3,3,3
M24,20,Female,5,5,4,1,4,1,low,negative,2,2,2,4,3,2,2,3,3,3,3,3
M24,20,Female,5,5,4,1,4,1,medium,positive,3,4,4,4,3,3,2,3,3,3,3,3
M24,20,Female,5,5,4,1,4,1,medium,negative,2,3,2,4,3,3,2,3,3,3,3,3
L25,40,Female,5,4,5,1,5,1,low,positive,2,3,2,2,3,2,3,1,3,3,3,3
L25,40,Female,5,4,5,1,5,1,low,negative,2,2,2,2,2,2,3,1,3,3,3,3
L25,40,Female,5,4,5,1,5,1,medium,positive,1,1,1,1,1,2,3,1,3,3,3,3
L25,40,Female,5,4,5,1,5,1,medium,negative,1,1,1,1,1,2,3,1,3,3,3,3
L25,40,Female,5,4,5,1,5,1,high,positive,4,3,4,4,4,4,3,1,3,3,3,3
L25,40,Female,5,4,5,1,5,1,high,negative,3,4,3,4,4,4,3,1,3,3,3,3
K25,38,Male,5,2,2,1,1,1,medium,positive,2,2,2,1,1,1,1,1,1,1,1,1
K25,38,Male,5,2,2,1,1,1,medium,negative,2,3,3,1,1,1,1,1,1,1,1,1
K25,38,Male,5,2,2,1,1,1,high,positive,3,3,3,2,1,1,1,1,1,1,1,1
K25,38,Male,5,2,2,1,1,1,high,negative,3,3,3,1,1,1,1,1,1,1,1,1
K25,38,Male,5,2,2,1,1,1,low,positive,3,3,3,1,1,1,1,1,1,1,1,1
K25,38,Male,5,2,2,1,1,1,low,negative,3,3,3,1,1,1,1,1,1,1,1,1
C27,23,Female,5,4,3,1,1,1,high,positive,2,2,2,1,2,2,3,2,2,2,2,3
C27,23,Female,5,4,3,1,1,1,high,negative,2,1,2,1,2,2,3,2,2,2,2,3
C27,23,Female,5,4,3,1,1,1,low,positive,2,2,2,1,2,1,3,2,2,2,2,3
C27,23,Female,5,4,3,1,1,1,low,negative,2,2,2,1,1,1,3,2,2,2,2,3
C27,23,Female,5,4,3,1,1,1,medium,positive,2,3,3,1,3,2,3,2,2,2,2,3
C27,23,Female,5,4,3,1,1,1,medium,negative,2,3,3,1,3,2,3,2,2,2,2,3
T28,19,Female,5,5,2,2,2,2,low,positive,2,2,2,3,2,2,3,3,3,3,3,3
T28,19,Female,5,5,2,2,2,2,low,negative,2,2,2,4,3,3,3,3,3,3,3,3
T28,19,Female,5,5,2,2,2,2,medium,positive,2,2,2,4,5,4,3,3,3,3,3,3
T28,19,Female,5,5,2,2,2,2,medium,negative,2,2,2,4,5,4,3,3,3,3,3,3
T28,19,Female,5,5,2,2,2,2,high,positive,3,3,4,4,5,5,3,3,3,3,3,3
T28,19,Female,5,5,2,2,2,2,high,negative,3,3,4,5,5,4,3,3,3,3,3,3
H29,51,Female,5,4,3,1,2,1,medium,positive,4,4,4,2,3,3,1,1,1,3,3,3
H29,51,Female,5,4,3,1,2,1,medium,negative,2,2,2,2,2,2,1,1,1,3,3,3
H29,51,Female,5,4,3,1,2,1,high,positive,5,4,5,4,4,3,1,1,1,3,3,3
H29,51,Female,5,4,3,1,2,1,high,negative,3,3,3,3,3,3,1,1,1,3,3,3
H29,51,Female,5,4,3,1,2,1,low,positive,5,5,5,2,4,4,1,1,1,3,3,3
H29,51,Female,5,4,3,1,2,1,low,negative,2,3,3,2,4,4,1,1,1,3,3,3
K30,41,Female,5,5,3,1,1,1,high,positive,5,5,5,4,2,3,3,3,3,2,2,3
K30,41,Female,5,5,3,1,1,1,high,negative,4,5,5,4,2,3,3,3,3,2,2,3
K30,41,Female,5,5,3,1,1,1,low,positive,4,5,5,3,3,4,3,3,3,2,2,3
K30,41,Female,5,5,3,1,1,1,low,negative,3,5,5,3,2,3,3,3,3,2,2,3
K30,41,Female,5,5,3,1,1,1,medium,positive,5,5,5,3,3,1,3,3,3,2,2,3
K30,41,Female,5,5,3,1,1,1,medium,negative,4,5,5,3,3,1,3,3,3,2,2,3
A31,26,Male,4,4,2,1,3,1,low,positive,3,3,4,3,2,3,3,3,3,3,3,3
A31,26,Male,4,4,2,1,3,1,low,negative,2,3,3,3,3,2,3,3,3,3,3,3
A31,26,Male,4,4,2,1,3,1,medium,positive,4,3,4,4,3,4,3,3,3,3,3,3
A31,26,Male,4,4,2,1,3,1,medium,negative,3,3,4,2,2,4,3,3,3,3,3,3
A31,26,Male,4,4,2,1,3,1,high,positive,5,4,4,4,3,4,3,3,3,3,3,3
A31,26,Male,4,4,2,1,3,1,high,negative,4,4,3,4,3,4,3,3,3,3,3,3
K32,19,Female,5,4,3,1,5,1,medium,positive,3,4,5,4,5,3,1,3,3,3,3,3
K32,19,Female,5,4,3,1,5,1,medium,negative,2,3,3,4,4,4,1,3,3,3,3,3
K32,19,Female,5,4,3,1,5,1,high,positive,5,5,5,3,4,4,1,3,3,3,3,3
K32,19,Female,5,4,3,1,5,1,high,negative,3,4,3,3,3,4,1,3,3,3,3,3
K32,19,Female,5,4,3,1,5,1,low,positive,5,5,4,4,3,4,1,3,3,3,3,3
K32,19,Female,5,4,3,1,5,1,low,negative,3,3,3,4,3,4,1,3,3,3,3,3
K33,36,Female,5,4,3,1,2,1,high,positive,3,4,4,3,3,4,2,2,2,2,2,2
K33,36,Female,5,4,3,1,2,1,high,negative,4,4,4,4,4,3,2,2,2,2,2,2
K33,36,Female,5,4,3,1,2,1,low,positive,2,3,3,2,2,2,2,2,2,2,2,2
K33,36,Female,5,4,3,1,2,1,low,negative,3,4,3,2,2,2,2,2,2,2,2,2
K33,36,Female,5,4,3,1,2,1,medium,positive,4,4,4,4,4,4,2,2,2,2,2,2
K33,36,Female,5,4,3,1,2,1,medium,negative,4,4,4,4,4,4,2,2,2,2,2,2
F34,18,Male,5,5,2,1,5,1,low,positive,3,2,3,4,3,2,1,1,3,3,3,3
F34,18,Male,5,5,2,1,5,1,low,negative,2,2,1,2,2,2,1,1,3,3,3,3
F34,18,Male,5,5,2,1,5,1,medium,positive,4,3,3,2,3,2,1,1,3,3,3,3
F34,18,Male,5,5,2,1,5,1,medium,negative,2,1,2,3,3,2,1,1,3,3,3,3
F34,18,Male,5,5,2,1,5,1,high,positive,3,4,4,4,3,3,1,1,3,3,3,3
F34,18,Male,5,5,2,1,5,1,high,negative,2,2,2,3,3,2,1,1,3,3,3,3
M35,36,Female,5,4,5,1,1,3,medium,positive,2,4,3,2,3,3,1,3,1,3,3,3
M35,36,Female,5,4,5,1,1,3,medium,negative,2,3,4,3,4,3,1,3,1,3,3,3
M35,36,Female,5,4,5,1,1,3,high,positive,3,3,4,3,5,4,1,3,1,3,3,3
M35,36,Female,5,4,5,1,1,3,high,negative,2,2,2,3,4,4,1,3,1,3,3,3
M35,36,Female,5,4,5,1,1,3,low,positive,3,3,3,2,2,3,1,3,1,3,3,3
M35,36,Female,5,4,5,1,1,3,low,negative,3,3,3,2,2,3,1,3,1,3,3,3
D36,22,Man,5,4,5,1,1,1,high,positive,4,2,4,2,2,2,1,1,2,2,1,2
D36,22,Man,5,4,5,1,1,1,high,negative,2,1,1,3,2,2,1,1,2,2,1,2
D36,22,Man,5,4,5,1,1,1,low,positive,5,5,5,1,3,4,1,1,2,2,1,2
D36,22,Man,5,4,5,1,1,1,low,negative,1,1,1,2,3,4,1,1,2,2,1,2
D36,22,Man,5,4,5,1,1,1,medium,positive,3,4,3,4,4,3,1,1,2,2,1,2
D36,22,Man,5,4,5,1,1,1,medium,negative,2,3,4,4,5,4,1,1,2,2,1,2
D37,43,Female,4,4,2,1,1,1,low,positive,3,4,4,2,2,2,1,1,3,3,3,3
D37,43,Female,4,4,2,1,1,1,low,negative,2,2,3,1,2,1,1,1,3,3,3,3
D37,43,Female,4,4,2,1,1,1,medium,positive,2,2,2,1,2,1,1,1,3,3,3,3
D37,43,Female,4,4,2,1,1,1,medium,negative,1,1,2,1,1,2,1,1,3,3,3,3
D37,43,Female,4,4,2,1,1,1,high,positive,4,4,3,3,3,3,1,1,3,3,3,3
D37,43,Female,4,4,2,1,1,1,high,negative,2,3,3,4,3,3,1,1,3,3,3,3
S38,35,Male,5,4,2,1,3,1,medium,positive,2,4,3,2,1,2,1,3,1,3,3,3
S38,35,Male,5,4,2,1,3,1,medium,negative,2,4,3,2,1,2,1,3,1,3,3,3
S38,35,Male,5,4,2,1,3,1,high,positive,3,4,3,3,2,3,1,3,1,3,3,3
S38,35,Male,5,4,2,1,3,1,high,negative,3,4,4,3,2,3,1,3,1,3,3,3
S38,35,Male,5,4,2,1,3,1,low,positive,3,4,4,2,3,3,1,3,1,3,3,3
S38,35,Male,5,4,2,1,3,1,low,negative,3,4,4,2,3,3,1,3,1,3,3,3
S39,20,Male,5,4,5,1,1,1,high,positive,2,4,4,2,4,2,3,3,3,3,3,3
